config_id,epoch,train_loss,test_loss,train_mse,train_msa,train_explained_variance,train_r2,test_mse,test_msa,test_explained_variance,test_r2
etnn,1,1202555.125,4567.09423828125,1230807.375,574.0757446289062,-3433892.25,-4198768.160015798,4567.09423828125,67.53951263427734,-17.03493309020996,-14950.120629796049
etnn,2,8301.7353515625,213.1954803466797,8304.978515625,83.83905029296875,-27867.759765625,-28330.556580941116,213.1954803466797,14.398213386535645,-18.271766662597656,-696.9298450150574
etnn,3,2361.468994140625,1671.780029296875,2382.42431640625,43.971588134765625,-7965.8095703125,-8126.388420374662,1671.780029296875,40.84697341918945,-9.81870174407959,-5471.84184371681
etnn,4,1436.267333984375,25.71271324157715,1423.706298828125,35.833187103271484,-4832.00634765625,-4855.822927419991,25.71271324157715,4.88329029083252,-5.109265327453613,-83.17472574896473
etnn,5,661.1866455078125,38.76264953613281,658.9178466796875,22.72526741027832,-2232.02197265625,-2246.82844826753,38.76264953613281,6.043145656585693,-6.342955112457275,-125.89579882016228
etnn,6,266.641357421875,11.14334487915039,264.5524597167969,14.162015914916992,-900.2584228515625,-901.4926745133102,11.14334487915039,3.0474298000335693,-5.078951835632324,-35.47953928077841
etnn,7,145.40989685058594,8.085783958435059,143.83128356933594,10.69063663482666,-489.4988403320313,-489.66519102523296,8.085783004760742,2.582472562789917,-5.600250720977783,-25.470117849864533
etnn,8,68.82147979736328,38.87742233276367,68.1333236694336,7.176647186279297,-231.1389312744141,-231.4296053310344,38.87742233276367,6.0690598487854,-5.851500988006592,-126.27151652618774
etnn,9,34.40900421142578,79.29273223876953,34.94928741455078,5.316133975982666,-113.83853912353516,-118.22578496751387,79.29273986816406,8.802539825439453,-4.918895244598389,-258.5775703004
etnn,10,51.44652938842773,11.296197891235352,51.09766387939453,6.486534118652344,-171.57298278808594,-173.31427845236902,11.296197891235352,3.125225305557251,-5.172269344329834,-35.97992856666395
etnn,11,19.666051864624023,22.861772537231445,20.086610794067383,3.927093267440796,-67.1785888671875,-67.52335335321017,22.86177635192871,4.596144676208496,-5.1106486320495605,-73.84170910836978
etnn,12,14.819473266601562,19.68292808532715,14.890999794006348,3.385502338409424,-48.98006057739258,-49.799071626565,19.68292808532715,4.249009132385254,-4.332305908203125,-63.43524317911914
etnn,13,9.825843811035156,11.245986938476562,9.76661491394043,2.740153789520264,-31.22359085083008,-32.317775882453816,11.245985984802246,3.151766300201416,-4.207790374755859,-35.81555082786279
etnn,14,6.2742018699646,8.306951522827148,6.241801261901856,2.0829145908355717,-19.62692642211914,-20.29324420290183,8.306951522827148,2.618443250656128,-3.790457248687744,-26.19414750104762
etnn,15,4.177006244659424,2.63379979133606,4.24691104888916,1.687213897705078,-13.214823722839355,-13.487887596153357,2.63379979133606,1.4018878936767578,-3.560783863067627,-7.622168893358998
etnn,16,2.477966547012329,3.741644382476807,2.438277244567871,1.2503238916397097,-7.313315391540527,-7.31792567309529,3.741644859313965,1.7287821769714355,-3.2846055030822754,-11.248878140862995
etnn,17,2.247326135635376,1.2863091230392456,2.2643685340881348,1.200040340423584,-6.671215534210205,-6.7246540157026615,1.2863091230392456,0.831002950668335,-3.1225171089172363,-3.2109406705699275
etnn,18,1.6188558340072632,1.1822985410690308,1.625878930091858,0.989137887954712,-4.546499729156494,-4.546513558839776,1.1822985410690308,0.8355149030685425,-2.770756959915161,-2.8704449313108684
etnn,19,2.0565345287323,2.03066635131836,2.0532400608062744,1.1520105600357056,-5.999075412750244,-6.0044112709747095,2.03066635131836,1.237273931503296,-2.34796404838562,-5.647714061607006
etnn,20,1.485509753227234,1.3910794258117676,1.490346908569336,0.9652018547058104,-4.047430515289307,-4.084161190909311,1.3910794258117676,0.8523738384246826,-2.00510835647583,-3.553922822504293
etnn,21,9.130818367004396,42.27842712402344,8.736855506896973,2.478611707687378,-28.40585327148437,-28.80485897468525,42.27842712402344,6.424686431884766,-2.3318686485290527,-137.40525209325216
etnn,22,423.4279174804688,2081.31787109375,402.8340148925781,17.5452938079834,-1352.71533203125,-1373.225510333675,2081.318115234375,45.59579086303711,-6.666659355163574,-6812.530226662614
etnn,23,1457.775146484375,1181.7601318359375,1473.1441650390625,34.89215850830078,-5019.9013671875,-5024.4755165940005,1181.7601318359375,34.357017517089844,-3.4382457733154297,-3867.68256872543
etnn,24,437.0031433105469,294.2264099121094,447.4436340332031,17.83133888244629,-1484.393310546875,-1525.406521806448,294.2264099121094,17.121604919433594,-2.525842905044556,-962.197646761137
